time,pos_ballX,pos_ballY,pos_robotX,pos_robotY,seen_robotX,seen_robotY,state
1095.373660,3.693182,-11.290226,0.020346,-0.025491,0.000000,0.000000,-1
1216.518534,-11.786209,-0.648497,0.052255,0.020693,0.000000,0.000000,-1
1266.469085,2.614325,-1.478705,0.001695,0.000623,-0.294148,0.093535,-1
1269.107303,2.913145,-0.709585,0.033277,-0.006251,-0.389892,0.132122,-1
1269.310417,2.913145,-0.709585,0.085472,-0.015928,-0.389892,0.132122,-1
1269.712206,2.959195,-0.421698,0.120308,-0.018169,-0.389892,0.132122,-1
1269.917128,2.959195,-0.421698,0.157982,-0.025829,-0.389892,0.132122,-1
1270.319317,2.959195,-0.421698,0.229936,-0.046700,-0.389892,0.132122,-1
1270.724474,2.876757,-0.782658,0.273592,-0.077958,-0.389892,0.132122,-1
1270.925134,2.876757,-0.782658,0.312499,-0.090043,-0.389892,0.132122,-1
1271.332506,2.930860,-0.528333,0.379045,-0.106701,-0.389892,0.132122,-1
1271.740314,2.930860,-0.528333,0.434447,-0.126261,-0.389892,0.132122,-1
1271.941410,2.930860,-0.528333,0.466964,-0.133765,-0.389892,0.132122,-1
1272.347821,2.896915,-0.708328,0.542415,-0.163507,-0.389892,0.132122,-1
1272.754949,2.896915,-0.708328,0.598668,-0.184178,-0.389892,0.132122,-1
1272.958284,2.896915,-0.708328,0.635587,-0.195219,-0.389892,0.132122,-1
1273.363995,2.955349,-0.617780,0.704935,-0.217733,-0.382989,0.139554,-1
1273.766191,2.955349,-0.617780,0.763600,-0.239008,-0.382989,0.139554,-1
1273.970644,2.955349,-0.617780,0.794421,-0.247456,-0.382989,0.139554,-1
1274.174365,2.955349,-0.617780,0.824469,-0.254247,-0.382989,0.139554,-1
1274.379588,2.935710,-0.697221,0.866157,-0.272705,-0.382989,0.139554,-1
1274.783941,2.935710,-0.697221,0.920711,-0.293566,-0.382989,0.139554,-1
1274.984036,2.935710,-0.697221,0.955923,-0.303262,-0.382989,0.139554,-1
1275.390765,2.950727,-0.613413,1.026142,-0.326488,-0.382989,0.139554,-1
1275.796049,2.950727,-0.613413,1.082702,-0.345716,-0.382989,0.139554,-1
1275.998947,2.950727,-0.613413,1.117084,-0.355553,-0.382989,0.139554,-1
1276.399984,2.943773,-0.654198,1.189307,-0.382510,-0.382989,0.139554,-1
1276.803749,2.943773,-0.654198,1.242579,-0.401532,-0.382989,0.139554,-1
1277.207930,2.943773,-0.654198,1.296725,-0.421831,-0.382989,0.139554,-1
1277.412362,2.939046,-0.663063,1.339804,-0.439177,-0.382989,0.139554,-1
1277.816937,2.939046,-0.663063,1.397523,-0.458221,-0.382989,0.139554,-1
1278.017331,2.939046,-0.663063,1.428250,-0.470026,-0.382989,0.139554,-1
1278.425068,2.953978,-0.683977,1.507282,-0.498467,-0.378139,0.148707,-1
1278.833747,2.953978,-0.683977,1.565784,-0.524892,-0.378139,0.148707,-1
1279.038682,2.953978,-0.683977,1.596123,-0.534979,-0.378139,0.148707,-1
1279.441520,2.952508,-0.692488,1.666527,-0.561567,-0.378139,0.148707,-1
1279.849077,2.952508,-0.692488,1.728488,-0.585814,-0.378139,0.148707,-1
1280.051601,2.952508,-0.692488,1.760632,-0.596407,-0.378139,0.148707,-1
1280.459078,2.952778,-0.687284,1.833562,-0.626624,-0.378139,0.148707,-1
1280.867560,2.952778,-0.687284,1.887612,-0.647760,-0.378139,0.148707,-1
1281.070617,2.952778,-0.687284,1.922268,-0.657500,-0.378139,0.148707,-1
1281.472769,2.947833,-0.710875,1.983891,-0.685246,-0.378139,0.148707,-1
1281.882004,2.947833,-0.710875,2.040384,-0.707270,-0.378139,0.148707,-1
1282.085366,2.947833,-0.710875,2.076140,-0.720682,-0.378139,0.148707,-1
1282.488647,2.946907,-0.681730,2.145838,-0.743248,-0.378139,0.148707,-1
1282.892447,2.946907,-0.681730,2.197541,-0.756791,-0.378139,0.148707,-1
1283.095593,2.946907,-0.681730,2.244031,-0.768191,-0.378139,0.148707,-1
1283.499225,2.968520,-0.743953,2.308880,-0.778646,1.963289,-0.789761,-1
1283.905585,2.968520,-0.743953,2.386833,-0.787175,1.963289,-0.789761,-1
1284.111438,2.968520,-0.743953,2.422706,-0.793489,1.963289,-0.789761,-1
1284.518363,2.968731,-0.720178,2.492791,-0.786169,1.963289,-0.789761,-1
1284.923916,2.968731,-0.720178,2.544667,-0.778478,1.963289,-0.789761,-1
1285.127523,2.968731,-0.720178,2.577851,-0.767987,1.963289,-0.789761,-1
1285.533584,2.968552,-0.732345,2.653251,-0.753033,1.963289,-0.789761,-1
1285.937477,2.968552,-0.732345,2.699562,-0.747930,1.963289,-0.789761,-1
1286.544943,2.971658,-0.735734,2.737766,-0.753251,1.963289,-0.789761,-1
1288.379159,2.915958,-0.718887,2.704044,-0.754609,2.699375,-0.939949,-1
1288.583404,2.920163,-0.904477,2.596718,-0.946706,2.699375,-0.939949,-1
1288.992800,2.920163,-0.904477,2.730723,-0.926659,2.699375,-0.939949,-1
1289.198207,2.920163,-0.904477,2.828182,-0.800653,2.699375,-0.939949,-1
1289.405184,2.900152,-0.872167,2.780198,-0.832846,2.699375,-0.939949,-1
1289.812012,2.900152,-0.872167,2.727879,-0.899403,2.699375,-0.939949,-1
1290.625121,2.896138,-0.895424,2.678247,-0.928168,2.699375,-0.939949,-1
1290.826643,2.896138,-0.895424,2.647130,-0.922025,2.699375,-0.939949,-1
