time,pos_ballX,pos_ballY,pos_robotX,pos_robotY,seen_robotX,seen_robotY,state
263.620013,3.035373,-0.385038,2.046840,-0.475069,-0.201236,-0.553704,-1
264.025140,3.035373,-0.385038,2.105004,-0.485730,-0.201236,-0.553704,-1
264.227865,3.035373,-0.385038,2.138236,-0.491592,-0.201236,-0.553704,-1
264.630106,3.032611,-0.364918,2.221895,-0.498670,-0.201236,-0.553704,-1
265.037652,3.032611,-0.364918,2.270488,-0.499189,-0.201236,-0.553704,-1
265.243094,3.032611,-0.364918,2.307205,-0.499260,-0.201236,-0.553704,-1
265.446163,3.006977,-0.313015,2.344566,-0.494072,2.293776,-0.406262,-1
266.060489,2.947031,-0.224008,2.386292,-0.378405,2.293776,-0.406262,-1
266.263052,2.947031,-0.224008,2.417257,-0.367460,2.293776,-0.406262,-1
266.466911,2.954366,-0.222684,2.459779,-0.355281,2.293776,-0.406262,-1
266.672597,2.954366,-0.222684,2.506227,-0.346829,2.293776,-0.406262,-1
267.078902,2.954366,-0.222684,2.563414,-0.334537,2.293776,-0.406262,-1
267.279419,2.954366,-0.222684,2.596079,-0.328236,2.293776,-0.406262,-1
267.687173,2.952455,-0.208177,2.673109,-0.312929,2.293776,-0.406262,-1
268.095304,2.952455,-0.208177,2.716366,-0.309065,2.293776,-0.406262,-1
270.333349,2.955126,-0.215094,2.639453,-0.331109,2.293776,-0.406262,-1
270.535203,3.198803,-0.225022,2.805361,-0.106838,2.809170,-0.096899,-1
270.740873,3.198803,-0.225022,2.839955,-0.090045,2.809170,-0.096899,-1
270.944322,3.198803,-0.225022,3.079845,-0.159826,2.809170,-0.096899,-1
271.148265,3.198803,-0.225022,3.034005,-0.198026,2.809170,-0.096899,-1
271.552226,3.210605,-0.079404,2.983312,-0.078310,2.809170,-0.096899,-1
272.972793,3.205069,-0.092413,2.950758,-0.067736,2.809170,-0.096899,-1
275.819019,2.562296,-0.723575,3.013711,-0.149272,2.959830,-0.177458,-1
280.485776,2.611139,-0.751917,2.979794,-0.167335,2.959830,-0.177458,-1
