time,pos_ballX,pos_ballY,pos_robotX,pos_robotY,approach_state
62.296731,4.672453,-0.116357,2.734557,0.930402,stopping
62.500153,4.672453,-0.116357,2.734557,0.930402,stopping
62.701114,4.672453,-0.116357,2.734557,0.930402,stopping
62.903606,4.672453,-0.116357,2.734557,0.930402,stopping
63.107457,4.672453,-0.116357,2.734557,0.930402,stopping
63.311793,4.672453,-0.116357,2.734557,0.930402,stopping
63.516699,4.672453,-0.116357,2.734557,0.930402,stopping
63.719826,4.672453,-0.116357,2.734557,0.930402,stopping
63.925576,4.672453,-0.116357,2.734557,0.930402,stopping
64.128260,4.672453,-0.116357,2.734557,0.930402,stopping
64.331282,4.672453,-0.116357,2.734557,0.930402,stopping
64.532105,4.672453,-0.116357,2.734557,0.930402,stopping
64.736563,4.672453,-0.116357,2.734557,0.930402,stopping
64.939066,4.672453,-0.116357,2.734557,0.930402,stopping
65.143754,4.672453,-0.116357,2.734557,0.930402,stopping
65.350357,4.672453,-0.116357,2.734557,0.930402,stopping
65.552878,4.672453,-0.116357,2.734557,0.930402,stopping
65.755260,4.672453,-0.116357,2.734557,0.930402,stopping
65.958499,4.672453,-0.116357,2.734557,0.930402,stopping
66.158721,4.672453,-0.116357,2.734557,0.930402,stopping
66.359517,4.672453,-0.116357,2.734557,0.930402,stopping
66.561613,4.672453,-0.116357,2.734557,0.930402,stopping
66.762979,4.672453,-0.116357,2.734557,0.930402,stopping
66.964505,4.672453,-0.116357,2.734557,0.930402,stopping
67.168594,4.672453,-0.116357,2.734557,0.930402,stopping
67.373617,4.672453,-0.116357,2.734557,0.930402,stopping
67.578117,4.672453,-0.116357,2.734557,0.930402,stopping
67.783680,4.672453,-0.116357,2.734557,0.930402,stopping
67.984708,4.672453,-0.116357,2.734557,0.930402,stopping
68.189350,4.672453,-0.116357,2.734557,0.930402,stopping
68.392268,4.672453,-0.116357,2.734557,0.930402,stopping
68.596024,4.672453,-0.116357,2.734557,0.930402,stopping
68.798449,4.672453,-0.116357,2.734557,0.930402,stopping
69.004235,4.672453,-0.116357,2.734557,0.930402,stopping
69.208756,4.672453,-0.116357,2.734557,0.930402,stopping
69.414577,4.672453,-0.116357,2.734557,0.930402,stopping
69.619251,4.672453,-0.116357,2.734557,0.930402,stopping
69.820381,4.672453,-0.116357,2.734557,0.930402,stopping
70.026145,4.672453,-0.116357,2.734556,0.930402,place
70.226455,4.672453,-0.116357,2.734557,0.930402,place
70.426842,4.672453,-0.116357,2.734448,0.930248,place
70.628964,4.672453,-0.116357,2.736653,0.931960,place
70.835238,4.672453,-0.116357,2.755116,0.943586,place
71.042585,4.672453,-0.116357,2.759494,0.946047,place
71.243364,4.672453,-0.116357,2.763998,0.946009,place
71.450009,4.672453,-0.116357,2.809399,0.952562,place
71.653826,4.672453,-0.116357,2.833162,0.951941,place
71.858460,4.672453,-0.116357,2.861749,0.945207,place
72.059275,4.672453,-0.116357,2.904526,0.931346,place
72.265445,4.672453,-0.116357,2.945649,0.906925,place
72.466273,4.672453,-0.116357,2.983911,0.879759,place
72.666310,4.672453,-0.116357,3.006991,0.857279,place
72.869130,4.672453,-0.116357,3.051440,0.810814,place
73.074380,4.672453,-0.116357,3.082816,0.776454,place
73.279245,4.672453,-0.116357,3.110513,0.746861,place
73.481536,4.672453,-0.116357,3.153247,0.702140,place
73.686164,4.672453,-0.116357,3.178922,0.676141,place
73.886900,4.672453,-0.116357,3.217111,0.637157,place
74.089510,4.672453,-0.116357,3.252399,0.601061,place
74.289821,4.672453,-0.116357,3.278152,0.574438,place
74.493771,4.672453,-0.116357,3.322687,0.528246,place
74.696196,4.672453,-0.116357,3.348377,0.501491,place
74.897163,4.672453,-0.116357,3.384002,0.464155,place
75.102107,4.672453,-0.116357,3.421378,0.424886,place
75.305186,4.672453,-0.116357,3.446344,0.398477,place
75.508740,4.672453,-0.116357,3.490286,0.351771,place
75.711597,4.672453,-0.116357,3.505530,0.335525,stopping
75.912659,4.672453,-0.116357,3.521137,0.318843,stopping
76.117074,4.672453,-0.116357,3.521137,0.318843,stopping
76.322014,4.672453,-0.116357,3.521137,0.318843,stopping
76.525948,4.672453,-0.116357,3.521137,0.318843,stopping
76.729626,4.672453,-0.116357,3.521137,0.318843,stopping
76.934896,4.672453,-0.116357,3.521137,0.318843,stopping
77.140799,4.672453,-0.116357,3.521137,0.318843,stopping
77.342989,4.672453,-0.116357,3.521137,0.318843,stopping
77.545844,4.672453,-0.116357,3.521137,0.318843,stopping
77.751273,4.672453,-0.116357,3.521137,0.318843,stopping
77.956925,4.672453,-0.116357,3.521137,0.318843,stopping
