time,pos_ballX,pos_ballY,pos_robotX,pos_robotY,seen_robotX,seen_robotY,state
136.464999,3.041408,-0.683256,2.040046,-0.726250,-0.686275,0.143798,-1
136.874672,3.041408,-0.683256,2.095893,-0.741783,-0.686275,0.143798,-1
137.079827,3.038731,-0.662465,2.133372,-0.751497,-0.686275,0.143798,-1
137.486579,3.038731,-0.662465,2.202639,-0.773362,-0.686275,0.143798,-1
137.893160,3.050376,-0.650973,2.256351,-0.786791,2.157938,-0.678438,-1
138.098017,2.946945,-0.557593,2.185641,-0.679674,2.157938,-0.678438,-1
138.509116,2.946945,-0.557593,2.271491,-0.687477,2.157938,-0.678438,-1
138.912624,2.946945,-0.557593,2.316746,-0.689062,2.157938,-0.678438,-1
139.116716,2.950742,-0.545923,2.356772,-0.695079,2.157938,-0.678438,-1
139.318750,2.950742,-0.545923,2.398037,-0.688407,2.157938,-0.678438,-1
139.522029,2.950742,-0.545923,2.439225,-0.682739,2.157938,-0.678438,-1
139.930583,2.946809,-0.550813,2.496738,-0.660265,2.157938,-0.678438,-1
140.337043,2.946809,-0.550813,2.556365,-0.628640,2.157938,-0.678438,-1
140.541093,2.946809,-0.550813,2.598322,-0.605979,2.157938,-0.678438,-1
140.943121,2.939834,-0.534354,2.647506,-0.582812,2.157938,-0.678438,-1
141.347145,2.939834,-0.534354,2.688719,-0.572559,2.157938,-0.678438,-1
146.420066,3.127011,-0.653997,2.734556,-0.582317,2.747943,-0.596001,-1
147.034052,3.126964,-0.648415,2.788903,-0.599642,2.747943,-0.596001,-1
147.441799,3.126964,-0.648415,2.838189,-0.609386,2.747943,-0.596001,-1
148.049416,3.150949,-0.618194,2.952208,-0.587111,2.949213,-0.584816,-1
150.698532,3.154838,-0.626965,2.921885,-0.638167,2.949213,-0.584816,-1
151.103895,3.162825,-0.623345,2.827491,-0.673327,2.949213,-0.584816,-1
151.307096,3.162825,-0.623345,2.780382,-0.643908,2.949213,-0.584816,-1
151.510819,3.162825,-0.623345,2.851804,-0.655256,2.949213,-0.584816,-1
151.710899,3.162825,-0.623345,3.041198,-0.535957,2.949213,-0.584816,-1
151.916418,3.162825,-0.623345,3.001999,-0.570728,2.949213,-0.584816,-1
152.319777,3.164931,-0.579977,2.950557,-0.598657,2.949213,-0.584816,-1
155.768307,3.199644,-0.632142,2.917383,-0.634023,2.986839,-0.607130,-1
158.803667,3.193008,-0.623460,2.952862,-0.623152,2.986839,-0.607130,-1
160.021948,3.194311,-0.621026,2.984601,-0.622697,2.986839,-0.607130,-1
